Mã Sản phẩm,Sản phẩm,Nhóm sản phẩm, Nhãn , Giá vốn ,Phân loại sản phầm
P-370,Điện thoại Apple iPhone X 64Gb Gray(A1901),Phụ kiện,Phụ kiện,  15.020.000 ,Phụ kiện
P-371,Điện thoại IPhone 6 32 GB VN/A (Vàng Đồng),Phụ kiện,Phụ kiện,  3.480.000 ,Phụ kiện
P-372,"phần mềm Nagios XI 200-Node License, 1 Year Email Support and Maintenance Plan",Phần mềm, Phần mềm văn phòng ,  40.480.000 ,Phần mềm server
P-373,Phần mềm Nagios XI Enterprise License Add-on with 1 Year Maintenance,Phần mềm, Khác ,  28.300.000 ,Phần mềm server
P-374,Phần mềm InDesign CC ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 12 months,Phần mềm, Phần cứng ,  5.400.000 ,Phần mềm văn phòng
P-375,Máy tính xách tay Asus X541UA-GO1372T/ Đen( Core i3-7100U 4GB/ 1TB/15.6”/ WIN10),Máy tính,,  5.640.000 ,Máy tính
P-376,Điện thoại Apple iPhone 8 Plus/ 64GB (Gray),Phụ kiện,Phụ kiện,  13.440.000 ,Phụ kiện
P-377,ĐTDĐ Apple Iphone 7 - 32 GB Chính hãng,Phụ kiện,Phụ kiện,  10.910.000 ,Phụ kiện
P-378,Ổ cứng Western Blue 1TB 7200rpm SATA3 64Mb,Phụ kiện,Phụ kiện,  570.000 ,Phụ kiện
P-379,Chíp vi xử lý CPU AMD Ryzen 5 1400,Phụ kiện,Phụ kiện,  3.120.000 ,Phụ kiện
P-380,Bộ bàn phím chuột Logitech MK120,Phụ kiện,Phụ kiện,  160.000 ,Phụ kiện
P-381,Màn hình Dell E2016HV 19.5Inch LED,Phụ kiện,Phụ kiện,  1.310.000 ,Phụ kiện
P-382,Laptop Dell Latitude 3440 Corei5 (L4I5H005),Phụ kiện,Phụ kiện,  7.090.000 ,Phụ kiện
P-383,Chuột quang Dell MS111 Black USB (DELL-MS111),Phụ kiện,Phụ kiện,  60.000 ,Phụ kiện
P-384,Dịch vụ bảo hành mở rộng hai năm cho Laptop Dell Latitude 3440 L4I5H/Intel Haswell Core i5-4210U/Ram 4GB DDR3/500Gb HDD,Dịch vụ,Dịch vụ,  1.170.000 ,Dịch vụ
P-385,Phần mềm Autodesk AutoCAD LT Commercial Subscription (1year) (05700-000000-9860),Phần mềm, Khác ,  2.850.000 ,Phần mềm văn phòng
P-386,Phần mềm Autodesk ACADLT 2016 RL2 DVD Sub(057H1-R23461-1151),Phần mềm, Phần mềm server ,  12.320.000 ,Khác
P-387,Phần mềm Creative Cloud for teams All Multipe platform Liscesing Sub_65206838BA01A12 (65206838BA01A12),Phần mềm, Phần mềm server ,  8.780.000 ,Phần mềm văn phòng
P-388,Phần mềm Adobe Premiere Pro Cc All Multiple Platforms Multi Asia Language Licensing Subscription-65226033BC01A12 (65226033BC01A12),Phần mềm, Phần cứng ,  4.100.000 ,Phần mềm văn phòng
P-389,Phần mềm Audition All MLP License Subscription Multi Asia Languages Promo-65226084BA01A12-1 Year,Phần mềm, Phần cứng ,  3.890.000 ,Phần mềm văn phòng
P-390,"Ổ cứng GN WD My Passport Ultra Anniversary Edition 1TB 2.5"" USB 3.0",Phụ kiện,Phụ kiện,  1.290.000 ,Phụ kiện
P-391,Hỗ trợ kỹ thuật Phần mềm 1 năm Oracle MySQL Standard Edition Subscription (1-4 socket server),Phần mềm, Khác ,  33.250.000 ,Phần mềm server
P-392,Phần mềm Red Hat Enterprise Linux Server Premium (1-2 sockets) (Up to 1 guest) 1 Year_RH0155783,Phần mềm, Phần cứng ,  22.400.000 ,Phần mềm server
P-393,"Máy tính xách tay Lenovo ThinkPad T450(20BUCT01WW) Intel Core i5-4300U(1.9Ghz, 3MB)/4gb DDR3/500Gb HDD 7200rpm/Intel HD Graphics 4400/14HD WLED/WC+WL+BT/FB/6 Cell Cylindrical/Dos/3Y",Máy tính,,  12.850.000 ,Máy tính
P-394,Ram Kingston 4Gb DDR3L-1600C11 SODIMM 1.35V (KVR16LS11/4),Phụ kiện,Phụ kiện,  500.000 ,Phụ kiện
P-395,Chuột Quang Không Dây Logitech M325,Phụ kiện,Phụ kiện,  230.000 ,Phụ kiện
P-396,Bo mạch chính ASUS,Phụ kiện,Phụ kiện,  810.000 ,Phụ kiện
P-397,Bộ vi xử lý Intel haswell Pentium G3240,Phụ kiện,Phụ kiện,  670.000 ,Phụ kiện
P-398,Bộ nhớ trong Kingston 4GBD3-1600,Phụ kiện,Phụ kiện,  370.000 ,Phụ kiện
P-399,Ổ cứng 500GB(Blue) Sata3 16MB,Phụ kiện,Phụ kiện,  740.000 ,Phụ kiện
P-400,Nguồn máy tính Huntkey CP-350,Phụ kiện,Phụ kiện,  250.000 ,Phụ kiện
P-401,Vỏ máy tính Orient 3008B,Phụ kiện,Phụ kiện,  190.000 ,Phụ kiện
P-402,Màn hình máy tính Samsung LS19D300,Phụ kiện,Phụ kiện,  1.100.000 ,Phụ kiện
P-403,Chuột vi tính Fuhlen L102,Phụ kiện,Phụ kiện,  70.000 ,Phụ kiện
P-404,Bàn phím vi tính Fuhlen L411,Phụ kiện,Phụ kiện,  80.000 ,Phụ kiện
P-405,Phần mềm Kerio Control Sophos AV 25 User - 1 year,Phần mềm, Khác ,  10.610.000 ,Phần mềm Bảo mật
P-406,Máy in laser Canon Đa Chức Năng MF4870DN,Phụ kiện,Phụ kiện,  5.540.000 ,Phụ kiện
P-407,Phần mềm SYMC BACKUP EXEC 15 SERVER WIN PER SERVER BNDL STD LIC EXPRESS BAND S ESSENTIAL 12 MONTHS,Phần mềm, Phần cứng ,  10.670.000 ,Phần cứng
P-408,Phần mềm SYMC BACKUP EXEC 15 AGENT FOR APPLICATIONS AND DATABASES WIN PER SERVER BNDL STD LIC EXPRESS BAND S ESSENTIAL 12 MONTHS,Phần mềm, Phần cứng ,  10.670.000 ,Phần mềm server
P-409,Phần mềm SYMC BACKUP EXEC 15 AGENT FOR WINDOWS WIN PER SERVER BNDL STD LIC EXPRESS BAND S ESSENTIAL 12 MONTHS,Phần mềm, Phần cứng ,  6.910.000 ,Phần cứng
P-410,Phần mềm Adobe Premiere Pro Cc All Multiple Platforms Multi Asia Language Licensing Subscription-65226033BA01A12 (65226033BA01A12),Phần mềm, Phần cứng ,  3.590.000 ,Phần mềm văn phòng
P-411,Phần mềm SketchUp Pro 2016 New Single User + 1 year Maintenance & Support,Phần mềm, Phần cứng ,  9.500.000 ,Khác
P-412,Phần mềm Autodesk 3ds Max 2016 Commercial New Single-user ELD 2-Year Subscription with Basic Support ACE PROMO,Phần mềm, Khác ,  29.450.000 ,Khác
P-413,Phần mềm Creative Cloud for teams - All Apps ALL Multiple Platforms Multi Asian Languages Licensing Subscription (2 Year),Phần mềm, Phần cứng ,  28.630.000 ,Phần mềm văn phòng
P-414,Phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal Level 1 Partner Price Lock only 1 User (1 Year),Phần mềm, Phần mềm server ,  8.880.000 ,Phần mềm văn phòng
P-415,Máy tính xách tay Dell Vostro V5480(70057780)/ Intel Core i5_5200U(2.2Ghz-3Mb Cache)/Ram 4Gb DDR3/HDD 500Gb Hybrid/2Gb NVidia GT830M/14Inch LED/WC+WL+BT/3 cell/Win8.1,Máy tính,,  10.200.000 ,Máy tính
P-416,Chuột không dây Dell WM123 (WM123),Phụ kiện,Phụ kiện,  120.000 ,Phụ kiện
P-417,Phần mềm Autodesk Building Design Suite Ultimate 2017 Commercial New Single-user ELD Annual Subscription with Advanced Support,Phần mềm, Phần mềm Bảo mật ,  41.710.000 ,Khác
P-418,"Ổ cứng gắn ngoài WD Digital 500gb 3.5""",Phụ kiện,Phụ kiện,  960.000 ,Phụ kiện
P-419,Phần mềm PRTG1000 with 12 maintenance months,Phần mềm, Phần cứng ,  8.400.000 ,Khác
P-420,Phần mềm ManageEngine ADManager Plus Professional Edition,Phần mềm, Phần cứng ,  12.810.000 ,Phần mềm server
P-421,Máy in HP Laserjet Pro M402DN (C5F94A) - 01 Y,Phụ kiện,Phụ kiện,  4.850.000 ,Phụ kiện
P-422,"Thiết bị thu phát sóng không dây LinkSYS, N600 SMART WI-FI ROUTER With GIGABIT ETHERNET_EA2750",Phụ kiện,Phụ kiện,  1.270.000 ,Phụ kiện
P-423,Phần mềm Photoshop CC ALL Multiple Platforms Multi Asian Languages Licensing Subscription Monthly 1 USER (12 Months),Phần mềm, Phần cứng ,  2.960.000 ,Phần mềm văn phòng
P-424,Phần mềm Creative Cloud for teams - complete Multiple Platforms Multi Asian Languages Licensing Subscription license 1 USER Level 1 1 - 49 12 Months Education Named,Phần mềm, Phần cứng ,  6.490.000 ,Phần mềm văn phòng
P-425,Thiết bị tường lửa Fortigate 90D,Phụ kiện,Phụ kiện,  18.200.000 ,Phụ kiện
P-426,"Máy tính xách tay Dell Vostro 3459 (70071892) Black/ Intel Skylake Core i5-6200U(2.3Ghz, 4Mb)/Ram 4Gb/HDD 500Gb/Intel HD Graphics 520/14Inch HD/WLED/DVDRW/WC+WL+BT/Dos",Máy tính,,  8.050.000 ,Máy tính
P-427,Phần mềm WinSvrDataCtr 2012R2 SNGL OLP NL Acdmc 2Proc Qlfd,Phần mềm, Phần mềm Bảo mật ,  71.170.000 ,Phần mềm server
P-428,"Máy tính xách tay Dell Vostro 3468(70088614) Black/Intel Kabylake Core i5-7200U (2.5GHz, 3Mb) Ram 4Gb DDR4/HDD 1TB/Intel HD Graphics 620/14Inch/DVDRW/WC +BT+WL/Ubuntu",Máy tính,,  8.740.000 ,Máy tính
P-429,"Máy tính xách tay Lenovo Thinkpad X270, i7-7600U(2.8/4Mb)4Gb DDR4, 256Gb SSD ,12.5"" HD. FPR, 3 cell Rear, No OS, ThinkPad Bluetooth Laser Mouse, 3Y, WTY_20HM000JVA",Máy tính,,  19.910.000 ,Máy tính
P-430,Máy scan Plustek PN2040,Phụ kiện,Phụ kiện,  5.290.000 ,Phụ kiện
P-431,Phần mềm OmniPlan 3 Pro,Phần mềm, Phần cứng ,  5.400.000 ,Khác
P-432,Phần mềm Autodesk 3ds Max 2018 Commercial New Single-user  ELD Annual Subscription SPZD,Phần mềm, Phần cứng ,  12.900.000 ,Khác
P-433,Phần mềm Lansweeper Standard (Up to 500 Assets) 03 year,Phần mềm, Phần mềm văn phòng ,  20.230.000 ,Khác
P-434,Phần mềm Photoshop CC for team ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 23 months,Phần mềm, Phần mềm Bảo mật ,  9.720.000 ,Phần mềm văn phòng
P-435,Phần mềm Illustrator CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 23 months,Phần mềm, Phần mềm Bảo mật ,  9.720.000 ,Phần mềm văn phòng
P-436,Phần mềm Autodesk ReCap PRO 2018 Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần mềm văn phòng ,  3.080.000 ,Khác
P-437,Phần mềm Upgrade from Business 11 to Corporate 12,Phần mềm, Phần mềm Bảo mật ,  25.610.000 ,Phần mềm văn phòng
P-438,"Máy tính xách tay Lenovo ThinkPad T470s, i7-7600U(2.8GHz/4MB),2x4GB DDR4,256GB SSD, 14' FHD, FPR, 3CELL FROUNT + 3CELL REAR, No OS, Thinkpad Bluetooth Laser Mouse, 3Y WTY_20HGA08KVA",Máy tính,,  19.440.000 ,Máy tính
P-439,Ổ cứng Plextor 512G-PX-512M6V,Phụ kiện,Phụ kiện,  2.670.000 ,Phụ kiện
P-440,Máy tính xách tay Dell Vostro 14 3468 Intel core i5-7200U(2.50GHz/3MB)/4GB Ram/1TB HDD/DVDRW/14inch HD/WL+BT/WC/Fingerprint/Ubuntu/black(70088614) - 01Y/Túi,Máy tính,,  8.100.000 ,Máy tính
P-441,Bộ micro và loa kết hợp Jabra Speak 510MS (7510-109),Phụ kiện,Phụ kiện,  2.720.000 ,Phụ kiện
P-442,Micro hội nghị BOYA-BY-MC2,Phụ kiện,Phụ kiện,  1.270.000 ,Phụ kiện
P-443,Micro máy tính Yingbao Pro-10A,Phụ kiện,Phụ kiện,  430.000 ,Phụ kiện
P-444,SC - P5000 Máy in Epson,Phụ kiện,Phụ kiện,  41.180.000 ,Phụ kiện
P-445,Phần mềm Radius Manager Pro,Phần mềm, Phần mềm Bảo mật ,  2.280.000 ,Phần mềm server
P-446,Phần mềm giám sát mạng PRTG cho 1000 thiết bị Modern PRTG 1000 v9 2014(PRTG-1000V92014,Phần mềm, Phần mềm văn phòng ,  9.100.000 ,Khác
P-447,"Phần mềm ManageEngine ADmanager plus professional Edition- Subscription Model, annual subscription free for 01 Domain (Unrestricted Objects)",Phần mềm, Khác ,  12.300.000 ,Phần mềm server
P-448,Phí sử dụng phần mềm Office 365 Business - 20 user - 1 year,Phần mềm, Phần mềm văn phòng ,  14.040.000 ,Phần mềm văn phòng
P-449,phần mềm Power Director 15 Ultra,Phần mềm, Phần mềm Bảo mật ,  2.070.000 ,Khác
P-450,Phần mềm Office ProPlus 2016 SNGL OLP NL,Phần mềm, Khác ,  6.070.000 ,Phần mềm văn phòng
P-451,Máy tính xách tay Fujitsu LIFEBOOK E736 Intel core i5-6200U / ram 4GB / HDD 500gb / 13.3'HD/ No Camera + 2xdigital MIC/ AC Adapter (3 pin) 65W/19V/6cell 63Wh/ No Finger Print / No Smart card/ No OS,Máy tính,,  14.640.000 ,Máy tính
P-452,Bộ lưu điện UPS Santak TRUE ONLINE C2K,Phụ kiện,Phụ kiện,  17.250.000 ,Phụ kiện
P-453,Phần mềm Autodesk AutoCAD LT 2018 Commercial New Single-user ELD 2-Year Subscription,Phần mềm, Phần mềm server ,  6.590.000 ,Phần mềm văn phòng
P-454,Thiết bị lưu trữ Synology - Hộp ổ cứng gắn ngoài kết nối mạng LAN USB 3.0 - RS816,Phụ kiện,Phụ kiện,  9.280.000 ,Phụ kiện
P-455,Bộ phụ kiện hộp ổ cứng Synology thanh trượt Slide Rail Kits - RKS 1317,Phụ kiện,Phụ kiện,  1.590.000 ,Phụ kiện
P-456,Phần mềm VERITAS BACKUP EXEC 16 AGENT FOR WINDOWS WIN ML PER SERVER BNDL BUS PACK ESSENTIAL 12 MONTHS CORPORATE_17759-M1,Phần mềm, Phần mềm Bảo mật ,  5.440.000 ,Phần mềm server
P-457,Phần mềm TrendMicro Maximum Security,Phần mềm, Phần mềm văn phòng ,  190.000 ,Phần mềm Bảo mật
P-458,Phần mềm Creative Cloud for teams All Apps ALL  Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần mềm server ,  11.790.000 ,Phần mềm văn phòng
P-459,Phần mềm SharePointSvr 2016 SNGL OLP NL,Phần mềm, Khác ,  84.450.000 ,Phần mềm văn phòng
P-460,Ổ cứng gắn ngoài WD My Passport 3TB,Phụ kiện,Phụ kiện,  2.150.000 ,Phụ kiện
P-461,Ổ cứng dùng cho máy chủ HDD HP 300GB 10K SAS 2.5,Phụ kiện,Phụ kiện,  2.450.000 ,Phụ kiện
P-462,Máy in Laser HP M402D-C5F92A,Phụ kiện,Phụ kiện,  3.000.000 ,Phụ kiện
P-463,"Phần mềm Renew Kerio Control, Kerio Antivirus Server Extension, 25 users",Phần mềm, Phần mềm văn phòng ,  18.300.000 ,Phần mềm Bảo mật
P-464,Phần mềm Add - In A - Tools,Phần mềm, Phần cứng ,  630.000 ,Khác
P-465,Phần mềm AutoCAD - including specialized toolsets AD Commercial New,Phần mềm, Phần cứng ,  31.300.000 ,Khác
P-466,Phần mềm InDesign CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New - 12 months,Phần mềm, Phần mềm Bảo mật ,  5.320.000 ,Phần mềm văn phòng
P-467,Phần mềm IP-Guard addtional 17 agents with 9 modules,Phần mềm, Phần mềm Bảo mật ,  27.950.000 ,Phần mềm server
P-468,Phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New Education Named license 12 months,Phần mềm, Phần mềm Bảo mật ,  12.480.000 ,Phần mềm văn phòng
P-469,Thiết bị chia mạng D-link DGS-1024C (vỏ sắt),Phụ kiện,Phụ kiện,  1.270.000 ,Phụ kiện
P-470,"Phần mềm Renew Kerio Control, Kerio Antivirus Server",Phần mềm, Phần mềm Bảo mật ,  22.750.000 ,Phần mềm Bảo mật
P-471,Phần mềm Office 365 Business - 12 months,Phần mềm, Phần cứng ,  1.230.000 ,Phần mềm văn phòng
P-472,Phần mềm Inventor Professional 2019 Commercial New Single-user ELD Annual Subscription,Phần mềm, Phần cứng ,  15.860.000 ,Khác
P-473,Phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal (65270765BA02A12),Phần mềm, Phần mềm văn phòng ,  12.950.000 ,Phần mềm văn phòng
P-474,Phần mềm Win Ult 7 SP1 x64 English 1pk DSP OEI (GLC-02389),Phần mềm, Phần cứng ,  2.470.000 ,Khác
P-475,Phần mềm NIS2014-1U (NIS2014-1U),Phần mềm, Phần mềm văn phòng ,  100.000 ,Khác
P-476,Phần mềm WinSvrCAL 2012 SNGL OLP NL UsrCAL (R18-04281),Phần mềm, Phần cứng ,  570.000 ,Khác
P-477,Phần mềm hỗ trợ tường lửa: 1 year UTM SW Network Protection UPTO 250Users,Phần mềm, Phần cứng ,  23.810.000 ,Phần mềm Bảo mật
P-478,Phần mềm AddOn Channel 10,Phần mềm, Phần cứng ,  7.810.000 ,Khác
P-479,Phần mềm O365MdsBsnssOpen ShrdSvr SNGL SubsVL OLP NL Annual Qlfd MRenewalSKU,Phần mềm, Phần cứng ,  1.920.000 ,Phần mềm văn phòng
P-480,Phần mềm Win SL 8.1 x32 Eng Intl 1pk DSP OEI EM DVD (4HR-00220),Phần mềm, Phần cứng ,  1.810.000 ,Khác
P-481,Phần mềm BACKUP EXEC AGENT FOR WIN 1 SERVER ONPREMISE STANDARD LICENSE + ESSENTIAL MAINTENANCE BUNDLE INITIAL 12MO CORPORATE,Phần mềm, Phần cứng ,  5.970.000 ,Phần cứng
P-482,"Máy tính để bàn Dell Optiplex 3040SFF(70074620) Intel Core i3-6100(2*3.7Ghz, 3Mb) Ram 4Gb DDR3 1600MHz/500Gb HĐ/Ỉtel HD Graphics 530/DVDRW/Key & Mouse/Ubuntu",Máy tính,,  5.890.000 ,Máy tính
P-483,Màn hình Dell E1715s-Backlight LED 17 inch vông,Phụ kiện,Phụ kiện,  1.430.000 ,Phụ kiện
P-484,Bộ lưu điện UPS Santak TG500VA,Phụ kiện,Phụ kiện,  610.000 ,Phụ kiện
P-485,Cạc máy chủ Intel Ethernet I350 QP 1Gb,Phụ kiện,Phụ kiện,  2.550.000 ,Phụ kiện
P-486,Ổ cứng Western Purple 4Tb IntelliPower SATA3 64Mb,Phụ kiện,Phụ kiện,  2.650.000 ,Phụ kiện
P-487,Thiết bị chuyển mạch Dual Wan Gigabit Router 24P_LRT224,Phụ kiện,Phụ kiện,  2.580.000 ,Phụ kiện
P-488,"Máy tính chủ HP DL 380 G9 CTO 2xE5-2660V3(2.6GHz)/10Core/25Mb, 128Gb Ram(8x16Gb)2x300Gb HDD, DVDRW, SAP440ar/2Gb, 356FLR Adapter, Nic 331i, Security Benzel, Easy Install Rail Kit, 2x800W PS, 3xDP SP Windows E-LTU, Rack 2U, 3Y WTY_719064-B21",Máy tính,,  142.590.000 ,Máy tính
P-489,"Máy tính chủ HP DL120 G9 CTO E5-1620v3(3.5GHz/4Core/10MB), 32GB RAM(2x16GB), 2x300GB HDD, SA P440/4G, Install Rail Kit, 2x900W PS, Rack1U, 3Y WTY_777426-B21",Máy tính,,  58.930.000 ,Máy tính
P-490,"Bộ chuyển mạch HPE 5510 24G 4SFP+ HISwch, 3Y WTY (93557091; A9)_JH145A",Phụ kiện,Phụ kiện,  122.850.000 ,Phụ kiện
P-491,"Thiết bị chuyển mạch HPE 8/24 Base 16-port Enabled Switch, 3Y WTY_AM868C",Phụ kiện,Phụ kiện,  114.080.000 ,Phụ kiện
P-492,Cạc nối máy chủ với thiết bị lưu trữ Lenovo Qlogic 8Gb FC Dual-port HBA for Lenovo System X-42D0510,Phụ kiện,Phụ kiện,  11.090.000 ,Phụ kiện
P-493,EXTRA! X-treme Licensed Unit Level D,Phụ kiện,Phụ kiện,  2.640.000 ,Phụ kiện
P-494,Phần mềm EXTRA! X-treme Maintenance Level D,Phần mềm, Phần cứng ,  700.000 ,Khác
P-495,Phần mềm SYMC ENDPOINT PROTECTION 12.1 PER USER RENEWAL ESSENTIAL 12 MONTHS EXPRESS BAND A (0E7IOZZ0-ER1EA),Phần mềm, Phần mềm server ,  180.000 ,Phần mềm Bảo mật
P-496,Phần mềm VMware vSphere 6 with Operations Management Enterprise Plus for 1 processor,Phần mềm, Phần mềm server ,  40.300.000 ,Phần mềm server
P-497,Dịch vụ phần mềm Production Support/Subscription VMware vSphere 6 with Operation Management Enterprise Plus for 1 processor for 1 year,Phần mềm, Phần mềm văn phòng ,  8.310.000 ,Phần mềm server
P-498,Phần mềm Kis MD Kaspersky (5Pc),Phần mềm, Phần cứng ,  420.000 ,Phần mềm Bảo mật
P-499,Phần mềm OfficeStd 2016 SNGL OLP NL Acdmc,Phần mềm, Phần cứng ,  770.000 ,Phần mềm văn phòng
P-500,Phần mềm WinPro 10,Phần mềm, Phần mềm server ,  980.000 ,Khác
P-501,Dịch vụ phần mềm Basic Support/Subscription VMware vRealize Operations 6 Standard (Per CPU) for 1 year_VR6-OSTDC-G-SSS-C,Phần mềm, Phần mềm Bảo mật ,  7.290.000 ,Phần mềm server
P-502,"Phần mềm MySQL Standard Edition Subscription (1-4 socket server) (Server,1year)",Phần mềm, Phần mềm Bảo mật ,  24.630.000 ,Phần mềm server
P-503,Phần mềm Autodesk Inventor Professional 2018 Commercial New Multi-user ELD Annual Subscription SPZD,Phần mềm, Phần mềm server ,  25.700.000 ,Khác
P-504,Phần mềm Photoshop Elements 15 Multiple Platforms International English AOO License,Phần mềm, Phần mềm Bảo mật ,  1.660.000 ,Phần mềm văn phòng
P-505,Phần mềm Basic Support/Subscription VMware vSphere 6 Standard for 1 processor for 3 year,Phần mềm, Phần cứng ,  9.060.000 ,Phần mềm server
P-506,Bản quyền phần mềm Kaspesky Anti Virus cho 3 máy tính (KL1171MCCFS),Phần mềm, Phần cứng ,  200.000 ,Phần mềm Bảo mật
P-507,Tấm mạch in đã lắp ráp MSI H81M-P33,Phụ kiện,Phụ kiện,  790.000 ,Phụ kiện
P-508,Bộ vi xử lý Intel Haswell Pentium G3250 3.2ghz+quạt,Phụ kiện,Phụ kiện,  810.000 ,Phụ kiện
P-509,Bộ nhớ trong DDR3 4Gb 1600Mhz (Crucial/Dato/Patriot/Silicon/Adata),Phụ kiện,Phụ kiện,  480.000 ,Phụ kiện
P-510,Nguồn máy tính Hantkey HT-500,Phụ kiện,Phụ kiện,  180.000 ,Phụ kiện
P-511,Bàn phím Genius KB-110 (USB),Phụ kiện,Phụ kiện,  80.000 ,Phụ kiện
P-512,"Chuột máy tính Genius DX 110X, Black USB",Phụ kiện,Phụ kiện,  60.000 ,Phụ kiện
P-513,Ô cứng Western 500Gb sata,Phụ kiện,Phụ kiện,  650.000 ,Phụ kiện
P-514,Phần mềm SQLSvrStdCore 2016 SNGL OLP 2Lic NL CoreLic Qlfd (7NQ- 00806),Phần mềm, Phần mềm Bảo mật ,  49.030.000 ,Phần mềm server
P-515,Dịch vụ phần mềm Production Support/Subscription VMware vSphere 6 Standard for 1 processor for 1 year,Phần mềm, Phần mềm server ,  3.740.000 ,Phần mềm server
P-516,Phần mềm Veritas ESSENTIAL 12 MONTHS RENEWAL FOR NETBACKUP DEDUPLICATION DATA PROTECTION OPTIMIZATION OPT XPLAT 1 FRONT END TB ONPREMISE STANDARD PERPETUAL LICENSE CORPORATE,Phần mềm, Phần cứng ,  7.030.000 ,Phần mềm server
P-517,Phần mềm Cube IQ,Phần mềm, Phần cứng ,  20.280.000 ,Khác
P-518,Phần mềm After Effects CC for teams ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription Renewal 12 months,Phần mềm, Phần cứng ,  4.160.000 ,Phần mềm văn phòng
P-519,"Camera quan sát IP TV-IP450P (1.3MP, POE + Dome outdoor) hiệu TRENDnet",Phụ kiện,Phụ kiện,  12.090.000 ,Phụ kiện
P-520,Máy chiếu ảnh Epson EB-X31,Phụ kiện,Phụ kiện,  6.650.000 ,Phụ kiện
P-521,Gia han hỗ trợ phần mềm/ Renewal of Software Support Subscription for Veeam backup & Replication,Phần mềm, Phần cứng ,  18.900.000 ,Phần mềm server
P-522,Phần mềm CorelDRAW Graphics Suite 2017 Single User License,Phần mềm, Phần cứng ,  8.020.000 ,Phần mềm văn phòng
P-523,Phần mềm ExchgeOnlnPlan1Open ShrdSvr SNGL Subs VL OLP NL Annual Qlfd (Q6Y-00003),Phần mềm, Phần cứng ,  690.000 ,Phần mềm server
P-524,phần mềm Offce 365 Pro Plus,Phần mềm, Phần cứng ,  890.000 ,Phần mềm văn phòng
P-525,phần mềm Annual Basic Maintenance Renewal - Veeam Backup Essentials Enterprise 2 socket bundle for VMware,Phần mềm, Phần mềm văn phòng ,  5.810.000 ,Phần mềm văn phòng
P-526,phần mềm 2 additional years of Basic maintenance prepaid for Veeam Backup Essentials Enterprise 2 socket bundle for VMware,Phần mềm, Phần mềm văn phòng ,  8.650.000 ,Phần mềm văn phòng
P-527,Thiết bị chuyển mạch Aruba 2930F 48G 4SFP SWITCH - JL260A,Phụ kiện,Phụ kiện,  29.510.000 ,Phụ kiện
P-528,"Thiết bị chuyển mạch Aruba IAP-315(RW) AP-JW811A: 1X PD-9001GR-AC 1P GE 802.3AT MIDSPAN-JW629A, 1X AP-220-MNT-W1W MT BASIC WHITE KIT-JW047A, 1XXPC-AC-AC-EC CONTINENTAL EUROPEAN/SCHUKO AC POWER CORD-JW118A-1XHPE 1Y PARTNER-BRANDED NBD SUPPORT SVC-HPE ARUBA",Phụ kiện,Phụ kiện,  13.700.000 ,Phụ kiện
P-529,Thiết bị kết nối không dây Optoma HDCast Pro,Phụ kiện,Phụ kiện,  1.750.000 ,Phụ kiện
P-530,Máy chiếu Sony VPL-CH350,Phụ kiện,Phụ kiện,  19.320.000 ,Phụ kiện
P-531,Cáp HDMI 5APRO866 20m,Phụ kiện,Phụ kiện,  1.680.000 ,Phụ kiện
P-532,"Dây tín hiệu VGA 1,5m",Phụ kiện,Phụ kiện,  390.000 ,Phụ kiện
P-533,Phần mềm OfficeMacStd 2016 SNGL OLP NL,Phần mềm, Phần cứng ,  5.110.000 ,Phần mềm văn phòng
P-534,Phần mềm Workshare Professional 1 Year Subsrciption License(WORKSHARE-PRO-1Y),Phần mềm, Phần cứng ,  4.310.000 ,Phần mềm server
P-535,phần mềm Creative Cloud for teams All Apps ALL Multiple Platforms Multi Asian Languages Team Licensing Subscription New Education Device license 12 months,Phần mềm, Phần cứng ,  5.140.000 ,Phần mềm văn phòng
P-540,Phần mềm SQLCAL 2016 SNGL OLP NL DvcCAL,Phần mềm, Phần cứng ,  2.860.000 ,Phần mềm server
P-541,Phần mềm NXPowerLite for File Servers 7 1TB Credit,Phần mềm, Phần cứng ,  14.120.000 ,Phần mềm server
P-542,Thẻ cào CMC Interner Security BQ 12 tháng,Phụ kiện,Phụ kiện,  160.000 ,Phụ kiện
P-543,Bộ nhớ HPE 16GB 1Rx4 PC4-2400T-R Kit_805349-B21,Phụ kiện,Phụ kiện,  4.640.000 ,Phụ kiện
P-544,"Phần mềm Kaspersky Hybrid Cloud Security, CPU (PL Renew)",Phần mềm, Phần cứng ,  12.520.000 ,Phần mềm server
